outputs,preds
5.7972187e-07,0.0
0.00022492105,0.0
0.0010806447,0.0
0.26350445,0.0
0.01150906,0.0
0.00927128,0.0
1.7201428e-05,0.0
0.9999858,1.0
0.0009784149,0.0
0.00020540897,0.0
0.99728847,1.0
0.00023223535,0.0
1.7099314e-06,0.0
5.3583837e-05,0.0
8.3331715e-06,0.0
0.00012723227,0.0
0.5480572,0.0
1.756915e-05,0.0
0.013663381,0.0
0.0012152033,0.0
0.0034713717,0.0
7.841867e-05,0.0
0.00049829076,0.0
0.00072349905,0.0
2.973518e-05,0.0
3.768874e-05,0.0
1.7588349e-07,0.0
0.00017565997,0.0
1.0090998e-05,0.0
8.176837e-07,0.0
0.0013341524,0.0
0.00083128933,0.0
0.010293143,0.0
3.8127116e-06,0.0
0.0047172834,0.0
0.9961144,1.0
0.040753458,0.0
0.00019729258,0.0
1.3711585e-06,0.0
0.8971742,1.0
0.0015406801,0.0
0.21761145,0.0
0.9999547,1.0
1.6821136e-07,0.0
0.999923,1.0
0.0016576966,0.0
1.4230571e-05,0.0
6.4790856e-07,0.0
0.0012871773,0.0
1.0419035e-05,0.0
0.9999888,1.0
0.036922105,0.0
0.00012693502,0.0
8.773698e-08,0.0
0.06112465,0.0
2.5540157e-06,0.0
0.9939015,1.0
0.99975604,1.0
0.96843976,1.0
0.0032384126,0.0
0.69161856,1.0
3.5889528e-07,0.0
1.817091e-05,0.0
0.9771543,1.0
3.055157e-05,0.0
0.048216242,0.0
0.99877745,1.0
1.1262603e-05,0.0
0.0001817169,0.0
0.0001708314,0.0
0.98158425,1.0
0.29935244,0.0
0.00035741332,0.0
0.99332386,1.0
0.013672839,0.0
0.9978344,1.0
0.99625754,1.0
2.1830056e-07,0.0
0.0984997,0.0
3.2703367e-06,0.0
0.0010995206,0.0
0.09119055,0.0
8.41559e-06,0.0
0.0001484661,0.0
0.0005723423,0.0
0.00018657945,0.0
3.5576292e-07,0.0
0.79504424,1.0
6.1034516e-05,0.0
0.0009965664,0.0
0.031811297,0.0
0.6665763,1.0
0.00019148353,0.0
2.8883155e-06,0.0
0.0005034296,0.0
0.031987686,0.0
1.8188144e-05,0.0
0.07487819,0.0
0.9973725,1.0
0.00018969047,0.0
0.99924445,1.0
0.084345885,0.0
0.0010806447,0.0
0.47494856,0.0
0.101422116,0.0
0.1765816,0.0
3.1603435e-05,0.0
0.0037749491,0.0
4.975075e-08,0.0
0.9995308,1.0
0.0018470866,0.0
3.9717517e-05,0.0
0.94388795,1.0
0.9998863,1.0
1.1378704e-05,0.0
0.99997497,1.0
0.99146956,1.0
0.0009764265,0.0
0.00038625207,0.0
0.012363034,0.0
0.00039308402,0.0
3.049936e-06,0.0
3.565425e-06,0.0
0.0003932553,0.0
0.33652252,0.0
0.026405696,0.0
0.07349157,0.0
3.8259674e-05,0.0
0.00020192008,0.0
0.99993694,1.0
3.7070924e-05,0.0
0.042953033,0.0
0.021783153,0.0
0.00051983056,0.0
0.0004873614,0.0
5.440885e-07,0.0
